八卦	(bā guà) gossip
绯闻	(fēiwén) sex scandal, pink new
狗仔	(gǒuzǎi) paparazzi
小三儿	(xiǎo sānr) the third party (in a relationship)
脚踏两只船	(jiǎotǎliàngzhīchuán) have foot in both camps
天哪	(tiān na) my god!
找麻烦	(zhǎomáfan) look for trouble
