打呼	(dǎ hū) v.to snore
露营	(lù yíng) to camp out
搭脚儿	(dā jiǎo ér) to hitchhike
笼子	(lóng zi) cage, coop
艺术	(yì shù) art
关机	(guān jī) hang up (phone)
花坛	(huā tán) flower bed
原谅	(yuán liàng) forgive
